manifold,manifold_dimension,chi,delta,seed_index,seed,conditioned,direction,K_index,K,K_over_Kref,R,K_ref,N,relax_steps,K_grid_size,construction_status
$S^3$,3,0,0.35,0,821023,False,forward,91,0.1826904605208572,0.39147955825897973,0.23969322878839405,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,92,0.1859062978766968,0.3983706383072075,0.24467944455794918,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,93,0.18917874251169983,0.4053830196679283,0.24706744738141498,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,94,0.19250879086433634,0.41251883756643504,0.26029098505607867,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,95,0.19589745691303984,0.4197802648136568,0.26375870810371815,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,96,0.19934577248495775,0.42716951246776663,0.28272566274503125,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,97,0.20285478757013586,0.43468883050743407,0.2876246315146332,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,98,0.20642557064123368,0.44234050851692935,0.2997060758956053,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,99,0.21005920897886754,0.45012687638328763,0.3014010186420986,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,100,0.2137568090026807,0.4580503050057444,0.2925762149286847,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,101,0.21751949660824071,0.46611320701765874,0.3216066930524745,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,102,0.22134841750986783,0.47431803752114543,0.32325627692117254,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,103,0.22524473758949753,0.4826672948346376,0.3251399469170574,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,104,0.22920964325168391,0.49116352125360846,0.33674081498125347,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,105,0.23324434178485268,0.49980930382468436,0.34313034623794986,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,106,0.2373500617289124,0.5086072751333838,0.33758677396300585,0.4666666666666666,1024,3000,181,ordinary random skew drift
